1	18	14
10	3	2
100	1	1
101	0	1
102	4	0
103	1	0
104	1	2
105	0	1
106	0	2
11	1	2
112	0	1
113	1	0
114	0	1
116	1	0
119	0	1
12	3	1
13	3	1
139	0	1
14	3	2
15	2	2
16	2	2
17	6	5
18	3	6
19	3	5
2	0	2
20	3	4
21	1	4
22	1	4
23	8	6
24	0	7
25	5	2
26	6	6
27	7	6
28	8	5
29	9	5
3	4	0
30	5	6
31	5	6
32	8	8
33	10	9
34	8	5
35	7	5
36	4	7
37	8	9
38	7	6
39	7	7
4	2	3
40	5	9
41	7	5
42	4	8
43	6	15
44	7	7
45	10	9
46	5	3
47	11	9
48	12	14
49	4	8
5	1	2
50	10	11
51	8	7
52	8	9
53	6	8
54	6	8
55	13	5
56	7	9
57	8	6
58	5	8
59	12	8
6	0	2
60	9	11
61	5	6
62	9	11
63	10	5
64	8	5
65	13	9
66	4	3
67	7	7
68	1	5
69	2	10
7	2	0
70	6	4
71	7	5
72	10	4
73	4	9
74	6	4
75	6	3
76	6	7
77	6	2
78	2	2
79	2	4
8	4	3
80	3	2
81	1	6
82	2	3
83	6	3
84	2	3
85	2	3
86	2	4
87	3	2
88	2	5
89	5	3
9	6	2
90	6	1
91	3	1
92	0	3
93	2	2
94	2	2
95	2	2
96	1	2
97	1	1
98	4	3
99	0	1
